#node	date	numeric date
NODE_0000786	2022-02-24	2022.149250
NODE_0000787	2022-07-18	2022.544041
EPI_ISL_17581657	2022-12-02	2022.919178
EPI_ISL_17029117	2023-01-21	2023.056164
EPI_ISL_17581665	2022-12-04	2022.924658
NODE_0000792	2022-10-03	2022.753508
EPI_ISL_17581695	2022-12-17	2022.960274
EPI_ISL_16902537	2023-01-29	2023.078082
NODE_0000798	2022-08-24	2022.644223
EPI_ISL_17581685	2022-12-12	2022.946575
EPI_ISL_17581694	2022-12-17	2022.960274
NODE_0000082	2022-09-03	2022.671743
NODE_0000789	2022-10-29	2022.827212
EPI_ISL_17581727	2022-12-30	2022.995890
EPI_ISL_17685094	2022-12-17	2022.960274
NODE_0000084	2022-09-19	2022.716389
NODE_0000794	2023-01-13	2023.034749
EPI_ISL_16902544	2023-01-30	2023.080822
EPI_ISL_17029127	2023-02-05	2023.097260
NODE_0000087	2022-09-19	2022.716389
EPI_ISL_17581701	2022-12-19	2022.965753
EPI_ISL_17187485	2023-02-16	2023.127397
NODE_0000782	2022-04-13	2022.279962
NODE_0000783	2022-06-19	2022.464718
EPI_ISL_16534697	2022-12-26	2022.984932
EPI_ISL_16735404	2023-01-04	2023.009589
NODE_0000785	2022-08-21	2022.636160
EPI_ISL_18320427	2023-01-19	2023.050685
EPI_ISL_16853356	2023-01-14	2023.036986
NODE_0000774	2022-05-14	2022.366602
EPI_ISL_16327642	2022-12-16	2022.957534
EPI_ISL_16376728	2022-12-07	2022.932877
EPI_ISL_17581696	2022-12-18	2022.963014
NODE_0000778	2022-06-13	2022.446670
EPI_ISL_16967969	2022-12-28	2022.990411
EPI_ISL_16077176	2022-12-01	2022.916438
NODE_0000780	2022-11-27	2022.904645
EPI_ISL_16376711	2022-12-12	2022.946575
NODE_0000094	2022-12-10	2022.941096
EPI_ISL_16376722	2022-12-10	2022.941096
EPI_ISL_16376733	2022-12-10	2022.941096
NODE_0000772	2022-07-25	2022.563794
NODE_0000773	2022-09-10	2022.691935
EPI_ISL_16604748	2022-12-27	2022.987671
EPI_ISL_16604550	2022-12-27	2022.987671
NODE_0000771	2022-08-04	2022.591433
EPI_ISL_16911652	2023-01-13	2023.034247
NODE_0000697	2022-08-14	2022.617534
EPI_ISL_16635806	2023-01-09	2023.023288
NODE_0000698	2023-01-12	2023.031507
EPI_ISL_17489475	2023-01-12	2023.031507
EPI_ISL_16610734	2023-01-12	2023.031507
NODE_0000119	2022-09-15	2022.705340
EPI_ISL_16853836	2023-01-09	2023.023288
NODE_0000144	2022-09-23	2022.726740
