Accession_ID,Lineage,province,merged_lineage,date
EPI_ISL_18388897,HK.3,Hubei,XBB.1.9*,2023-10-06
EPI_ISL_18518380,FY.3.1,Shanghai,XBB.1.22*,2023-10-07
EPI_ISL_18475163,HK.3,Shanghai,XBB.1.9*,2023-10-09
EPI_ISL_18465306,XBB.1.16,Shanghai,XBB.1.16*,2023-10-09
EPI_ISL_18401710,HK.3,Fujian,XBB.1.9*,2023-10-10
EPI_ISL_18458005,HK.3,Taiwan,XBB.1.9*,2023-10-11
EPI_ISL_18465331,JN.1,Shanghai,Others,2023-10-12
EPI_ISL_18465333,GS.4.1,Shanghai,Others,2023-10-13
EPI_ISL_18409251,EG.5.1.1,Gansu,XBB.1.9*,2023-10-15
EPI_ISL_18485308,EG.5.1.1,Hubei,XBB.1.9*,2023-10-17
EPI_ISL_18475259,FU.2.1,Shanghai,XBB.1.16*,2023-10-18
EPI_ISL_18495054,HK.3,Shanghai,XBB.1.9*,2023-10-23
