,EventTime,Origin,Destination
764,2022.991767,Jiangsu,Sichuan
315,2022.992267,Shanghai,Liaoning
912,2022.992687,Guangxi,Jiangsu
878,2022.992727,Jiangsu,Henan
44,2022.993987,Anhui,Heilongjiang
617,2022.994427,Inner Mongolia,Qinghai
59,2022.994497,Anhui,Shanxi
75,2022.994497,Anhui,Shandong
176,2022.994497,Yunnan,Inner Mongolia
522,2022.994497,Hunan,Shandong
876,2022.994497,Jiangsu,Inner Mongolia
877,2022.994497,Jiangsu,Henan
514,2022.994507,Henan,Xinjiang
531,2022.994507,Tianjin,Xinjiang
759,2022.994507,Jiangsu,Sichuan
808,2022.994507,Jiangsu,Guangdong
824,2022.994507,Anhui,Henan
860,2022.994507,Jiangsu,Henan
913,2022.994507,Jiangsu,Henan
988,2022.994517,Yunnan,Jilin
615,2022.994527,Inner Mongolia,Guangdong
199,2022.995507,Inner Mongolia,Hainan
67,2022.997237,Anhui,Shandong
341,2022.997237,Shanghai,Hong Kong
722,2022.997237,Anhui,Jiangxi
737,2022.997237,Shanghai,Hebei
880,2022.997237,Jiangsu,Shanghai
35,2022.997247,Hong Kong,Taiwan
47,2022.997247,Anhui,Shanxi
102,2022.997247,Sichuan,Jiangxi
109,2022.997247,Sichuan,Yunnan
127,2022.997247,Sichuan,Zhejiang
143,2022.997247,Shaanxi,Gansu
164,2022.997247,Liaoning,Gansu
180,2022.997247,Sichuan,Chongqing
374,2022.997247,Anhui,Jiangxi
457,2022.997247,Anhui,Guangxi
595,2022.997247,Fujian,Zhejiang
607,2022.997247,Inner Mongolia,Chongqing
719,2022.997247,Hunan,Yunnan
834,2022.997247,Zhejiang,Shandong
840,2022.997247,Hainan,Guangxi
252,2022.997257,Tianjin,Yunnan
168,2022.999987,Guangxi,Yunnan
319,2022.999987,Beijing,Liaoning
553,2022.999987,Liaoning,Heilongjiang
556,2022.999987,Jilin,Heilongjiang
590,2022.999987,Yunnan,Zhejiang
652,2022.999987,Anhui,Guangxi
715,2022.999987,Hunan,Jiangsu
833,2022.999987,Zhejiang,Hainan
861,2022.999987,Jiangsu,Anhui
883,2022.999987,Jiangsu,Hainan
597,2022.999997,Yunnan,Hainan
697,2023.000887,Inner Mongolia,Hainan
386,2023.002197,Anhui,Sichuan
870,2023.002707,Guizhou,Hunan
172,2023.002717,Yunnan,Hunan
406,2023.002717,Zhejiang,Shandong
46,2023.002727,Anhui,Shanxi
76,2023.002727,Anhui,Sichuan
302,2023.002727,Liaoning,Heilongjiang
817,2023.002727,Jiangsu,Shandong
884,2023.002727,Jiangsu,Hunan
27,2023.002737,Shanghai,Tianjin
699,2023.005447,Hainan,Hunan
49,2023.005457,Anhui,Hainan
50,2023.005457,Anhui,Hainan
51,2023.005457,Anhui,Hainan
178,2023.005457,Guizhou,Hunan
354,2023.005457,Shanghai,Hainan
467,2023.005457,Tianjin,Hainan
70,2023.005467,Anhui,Hainan
72,2023.005467,Anhui,Hainan
77,2023.005467,Sichuan,Hainan
78,2023.005467,Anhui,Hainan
154,2023.005467,Guangxi,Hainan
212,2023.005467,Tianjin,Shaanxi
289,2023.005467,Shanghai,Hainan
400,2023.005467,Hubei,Shandong
436,2023.005467,Guangxi,Hainan
458,2023.005467,Guangxi,Hainan
491,2023.005467,Hong Kong,Taiwan
601,2023.005467,Yunnan,Hainan
837,2023.005467,Zhejiang,Yunnan
