,EventTime,Origin,Destination
252,2023.328777,Sichuan,Yunnan
253,2023.328787,Guangdong,Anhui
254,2023.328787,Shanghai,Guangdong
255,2023.329657,Hubei,Jiangsu
256,2023.331487,Yunnan,Jiangxi
257,2023.331497,Henan,Beijing
258,2023.331497,Shanghai,Beijing
259,2023.331507,Liaoning,Hubei
260,2023.331507,Hubei,Jiangxi
261,2023.331517,Jiangsu,Anhui
262,2023.331517,Jiangsu,Guangdong
263,2023.331527,Guangdong,Anhui
264,2023.331527,Anhui,Jiangsu
265,2023.334037,Sichuan,Jiangxi
266,2023.334227,Liaoning,Beijing
267,2023.334237,Tianjin,Xinjiang
268,2023.334247,Sichuan,Shanghai
269,2023.334247,Anhui,Yunnan
270,2023.334257,Jiangsu,Hong Kong
271,2023.334257,Shanghai,Yunnan
272,2023.334267,Henan,Fujian
273,2023.334267,Hubei,Beijing
274,2023.334267,Hubei,Beijing
275,2023.335147,Sichuan,Anhui
276,2023.336967,Heilongjiang,Beijing
277,2023.336977,Zhejiang,Sichuan
278,2023.336977,Hubei,Anhui
279,2023.336977,Hubei,Beijing
280,2023.336977,Henan,Anhui
281,2023.336977,Jiangsu,Anhui
282,2023.336987,Henan,Beijing
283,2023.336987,Yunnan,Hubei
284,2023.336987,Shanghai,Anhui
285,2023.336987,Yunnan,Guangdong
286,2023.336987,Yunnan,Guangdong
287,2023.336987,Zhejiang,Anhui
288,2023.336987,Sichuan,Beijing
289,2023.336987,Henan,Anhui
290,2023.336997,Heilongjiang,Liaoning
291,2023.337487,Hubei,Shanghai
292,2023.337907,Hubei,Sichuan
293,2023.338527,Guangdong,Hubei
294,2023.339517,Hubei,Heilongjiang
295,2023.339707,Yunnan,Beijing
296,2023.339717,Jilin,Hubei
297,2023.339717,Tianjin,Xinjiang
298,2023.339717,Sichuan,Shanghai
299,2023.339717,Beijing,Guangdong
300,2023.339717,Hong Kong,Jiangxi
301,2023.339717,Hubei,Shanghai
302,2023.339727,Sichuan,Beijing
303,2023.339727,Sichuan,Shanghai
304,2023.339727,Hubei,Guangdong
305,2023.339727,Hubei,Beijing
306,2023.339727,Henan,Beijing
